player_id,name,team_abbr,team_name,position,jersey,height,weight,age,experience,season,games_played,games_started,minutes,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,turnovers
1628369,Jayson Tatum,BOS,Boston Celtics,F-G,0,6-8,210,27.0,7,2024-25,72,72,36.4,26.8,8.7,6.0,1.1,0.5,45.2,34.3,81.4,2.9
1641936,Miles Norris,BOS,Boston Celtics,F,0,6-7,220,25.0,0,2024-25,3,0,11.7,2.3,3.0,0.0,0.7,0.3,22.2,28.6,50.0,0.0
201950,Jrue Holiday,POR,Boston Celtics,G,4,6-4,205,35.0,15,2025-26,12,12,33.4,16.7,5.2,8.2,1.6,0.2,44.6,36.5,84.0,2.9
1627759,Jaylen Brown,BOS,Boston Celtics,G-F,7,6-6,223,28.0,8,2025-26,33,33,33.9,29.6,6.3,4.9,1.1,0.4,50.1,36.3,77.7,3.6
204001,Kristaps Porziņģis,ATL,Boston Celtics,F-C,8,7-2,240,29.0,9,2025-26,16,12,24.4,17.4,5.2,2.8,0.5,1.3,46.2,34.6,84.8,0.9
1628401,Derrick White,BOS,Boston Celtics,G,9,6-4,190,30.0,7,2025-26,34,34,33.9,18.4,4.4,5.3,1.4,1.5,39.7,34.0,87.5,1.9
1630202,Payton Pritchard,BOS,Boston Celtics,G,11,6-1,195,27.0,4,2025-26,35,35,32.9,16.9,4.5,5.3,0.8,0.1,44.7,33.8,85.9,1.2
1628470,Torrey Craig,TOT,Boston Celtics,F,12,6-5,221,34.0,7,2024-25,26,4,12.1,4.2,2.8,0.7,0.3,0.5,42.2,36.4,66.7,0.3
1641809,Drew Peterson,CHA,Boston Celtics,F,13,6-9,205,25.0,1,2025-26,6,0,10.7,0.8,1.5,0.3,0.5,0.2,12.5,0.0,50.0,0.0
1631120,JD Davison,HOU,Boston Celtics,G,20,6-1,195,22.0,2,2025-26,16,0,5.6,1.6,0.4,0.9,0.2,0.1,45.0,40.0,50.0,0.3
1630214,Xavier Tillman,BOS,Boston Celtics,F,26,6-7,245,26.0,4,2025-26,11,1,9.4,2.8,2.2,0.5,0.5,0.2,50.0,23.1,0.0,0.4
1641775,Jordan Walsh,BOS,Boston Celtics,G,27,6-6,205,21.0,1,2025-26,30,20,20.0,6.9,4.9,0.9,1.0,0.5,58.2,47.4,82.8,0.6
1630573,Sam Hauser,BOS,Boston Celtics,F,30,6-7,217,27.0,3,2025-26,35,7,21.7,7.5,3.5,1.2,0.5,0.3,37.6,37.6,83.3,0.5
1628436,Luke Kornet,SAS,Boston Celtics,C-F,40,7-1,250,29.0,7,2025-26,27,19,24.9,8.6,6.7,2.1,0.3,1.4,68.2,0.0,83.8,0.5
201143,Al Horford,GSW,Boston Celtics,C-F,42,6-9,240,39.0,17,2025-26,18,1,19.6,6.7,4.5,1.6,0.9,0.9,36.6,34.1,100.0,0.9
