game_id,game_date,season,team_id,team_abbr,matchup,win_loss,points,fg_pct,ft_pct,fg3_pct,assists,rebounds,steals,blocks,turnovers,plus_minus,is_home,opponent_abbr,win
0022401194,2025-04-13,2024-25,1610612742,DAL,DAL @ MEM,L,97,0.437,0.727,0.179,20,38,6,3,18,-35.0,0,MEM,0
0022401189,2025-04-13,2024-25,1610612739,CLE,CLE vs. IND,L,118,0.383,0.545,0.3,21,65,6,9,21,-8.0,1,IND,0
0022401200,2025-04-13,2024-25,1610612756,PHX,PHX @ SAC,L,98,0.476,0.5,0.341,28,37,6,1,11,-11.0,0,SAC,0
0022401192,2025-04-13,2024-25,1610612749,MIL,MIL vs. DET,W,140,0.581,0.773,0.523,30,38,5,7,20,7.0,1,DET,1
0022401188,2025-04-13,2024-25,1610612752,NYK,NYK @ BKN,W,113,0.43,0.885,0.381,27,40,10,3,11,8.0,0,BKN,1
0022401187,2025-04-13,2024-25,1610612738,BOS,BOS vs. CHA,W,93,0.389,0.692,0.311,22,49,12,6,13,7.0,1,CHA,1
0022401196,2025-04-13,2024-25,1610612760,OKC,OKC @ NOP,W,115,0.418,0.889,0.191,16,54,8,4,10,15.0,0,NOP,1
0022401193,2025-04-13,2024-25,1610612743,DEN,DEN @ HOU,W,126,0.511,0.839,0.345,28,47,7,6,9,15.0,0,HOU,1
0022401190,2025-04-13,2024-25,1610612748,MIA,MIA vs. WAS,L,118,0.5,0.833,0.313,28,46,8,6,8,-1.0,1,WAS,0
0022401195,2025-04-13,2024-25,1610612750,MIN,MIN vs. UTA,W,116,0.469,0.688,0.302,23,54,9,9,13,11.0,1,UTA,1
0022401180,2025-04-11,2024-25,1610612743,DEN,DEN vs. MEM,W,117,0.484,0.774,0.208,32,52,9,2,12,8.0,1,MEM,1
0022401175,2025-04-11,2024-25,1610612739,CLE,CLE @ NYK,W,108,0.494,0.7,0.355,23,49,7,2,15,6.0,0,NYK,1
0022401181,2025-04-11,2024-25,1610612760,OKC,OKC @ UTA,W,145,0.56,0.692,0.453,41,47,12,4,10,34.0,0,UTA,1
0022401177,2025-04-11,2024-25,1610612748,MIA,MIA @ NOP,W,153,0.558,0.773,0.444,36,60,12,5,9,49.0,0,NOP,1
0022401174,2025-04-11,2024-25,1610612738,BOS,BOS vs. CHA,W,130,0.516,0.75,0.451,35,52,9,8,10,36.0,1,CHA,1
0022401178,2025-04-11,2024-25,1610612742,DAL,DAL vs. TOR,W,124,0.551,0.647,0.441,34,56,8,10,17,22.0,1,TOR,1
0022401175,2025-04-11,2024-25,1610612752,NYK,NYK vs. CLE,L,102,0.409,0.7,0.39,22,35,11,2,8,-6.0,1,CLE,0
0022401182,2025-04-11,2024-25,1610612756,PHX,PHX vs. SAS,W,117,0.463,0.909,0.404,27,52,9,10,11,19.0,1,SAS,1
0022401179,2025-04-11,2024-25,1610612750,MIN,MIN vs. BKN,W,117,0.545,0.759,0.355,27,48,5,5,12,26.0,1,BKN,1
0022401171,2025-04-11,2024-25,1610612749,MIL,MIL @ DET,W,125,0.457,0.815,0.436,30,44,7,8,7,6.0,0,DET,1
0022401170,2025-04-10,2024-25,1610612750,MIN,MIN @ MEM,W,141,0.552,0.893,0.455,29,41,6,3,16,16.0,0,MEM,1
0022401167,2025-04-10,2024-25,1610612752,NYK,NYK @ DET,L,106,0.467,0.786,0.324,32,34,11,6,14,-9.0,0,DET,0
0022401168,2025-04-10,2024-25,1610612739,CLE,CLE @ IND,L,112,0.439,0.692,0.459,24,50,6,3,11,-2.0,0,IND,0
0022401161,2025-04-10,2024-25,1610612749,MIL,MIL vs. NOP,W,136,0.544,0.667,0.4,27,43,13,4,11,25.0,1,NOP,1
0022401165,2025-04-09,2024-25,1610612743,DEN,DEN @ SAC,W,124,0.5,0.806,0.382,30,45,7,5,7,8.0,0,SAC,1
0022401160,2025-04-09,2024-25,1610612748,MIA,MIA @ CHI,L,111,0.478,0.647,0.364,28,39,11,3,13,-8.0,0,CHI,0
0022401156,2025-04-09,2024-25,1610612738,BOS,BOS @ ORL,L,76,0.39,0.833,0.175,20,43,5,5,15,-20.0,0,ORL,0
0022401164,2025-04-09,2024-25,1610612760,OKC,OKC @ PHX,W,125,0.523,0.852,0.4,24,44,11,2,10,13.0,0,PHX,1
0022401159,2025-04-09,2024-25,1610612742,DAL,DAL vs. LAL,L,97,0.5,0.696,0.346,30,38,6,6,19,-15.0,1,LAL,0
