team_id,player_id,player_name,nickname,jersey_number,position,height,weight,birth_date,age,years_experience,college
1610612737,1630552,Jalen Johnson,Jalen,1,F,6-8,219,"DEC 18, 2001",24.0,4,Duke
1610612737,1630811,Keaton Wallace,Keaton,2,G,6-3,185,"FEB 26, 1999",26.0,1,Texas-San Antonio
1610612737,1628379,Luke Kennard,Luke,3,G,6-5,206,"JUN 24, 1996",29.0,8,Duke
1610612737,1630700,Dyson Daniels,Dyson,5,G,6-7,199,"MAR 17, 2003",22.0,3,NBA G League Ignite
1610612737,1629638,Nickeil Alexander-Walker,Nickeil,7,G,6-5,205,"SEP 02, 1998",27.0,6,Virginia Tech
1610612737,204001,Kristaps Porziņģis,Kristaps,8,F-C,7-2,240,"AUG 02, 1995",30.0,10,Cajasol Sevilla
1610612737,1642258,Zaccharie Risacher,Zaccharie,10,F,6-8,200,"APR 08, 2005",20.0,1,JL Bourg-en-Bresse
1610612737,1629027,Trae Young,Trae,11,G,6-2,164,"SEP 19, 1998",27.0,7,Oklahoma
1610612737,1642368,N'Faly Dante,N'Faly,12,C,6-11,230,"OCT 19, 2001",24.0,1,Oregon
1610612737,1642854,Asa Newell,Asa,14,F,6-10,220,"OCT 05, 2005",20.0,R,Georgia
1610612737,1630168,Onyeka Okongwu,Onyeka,17,F-C,6-10,240,"DEC 11, 2000",25.0,5,Southern California
1610612737,1631243,Mouhamed Gueye,Mouhamed,18,F,6-11,210,"NOV 09, 2002",23.0,2,Washington State
1610612737,1642365,Nikola Đurišić,Nikola,22,G,6-8,214,"FEB 23, 2004",21.0,R,Mega Basket
1610612737,1630249,Vít Krejčí,Vít,27,G,6-8,195,"JUN 19, 2000",25.0,4,Zaragoza
1610612737,1642947,Eli John Ndiaye,Eli John,30,F,6-8,209,"JUN 26, 2004",21.0,R,Real Madrid
1610612737,1631216,Caleb Houstan,Caleb,33,G,6-8,205,"JAN 09, 2003",22.0,3,Michigan
1610612738,1628369,Jayson Tatum,Jayson,0,F-G,6-8,210,"MAR 03, 1998",27.0,8,Duke
1610612738,1629014,Anfernee Simons,Anfernee,4,G,6-3,200,"JUN 08, 1999",26.0,7,Edgewater HS (FL)
1610612738,1627759,Jaylen Brown,Jaylen,7,G-F,6-6,223,"OCT 24, 1996",29.0,9,California
1610612738,1631169,Josh Minott,Josh,8,F,6-8,205,"NOV 25, 2002",23.0,3,Memphis
