SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22025,1610612750,MIN,Minnesota Timberwolves,0022500513,2026-01-06,MIN vs. MIA,,120,63,22,46,0.478,6,20,0.3,13,17,0.765,3,25,28,13,4,6,6,10,7.0
22025,1610612739,CLE,Cleveland Cavaliers,0022500510,2026-01-06,CLE @ IND,W,240,120,49,88,0.557,10,26,0.385,12,18,0.667,10,38,48,33,7,6,19,23,4.0
22025,1610612748,MIA,Miami Heat,0022500513,2026-01-06,MIA @ MIN,,119,58,23,53,0.434,8,18,0.444,4,6,0.667,3,22,25,18,2,3,8,10,-7.0
22025,1610612743,DEN,Denver Nuggets,0022500507,2026-01-05,DEN @ PHI,W,263,125,43,81,0.531,18,37,0.486,21,28,0.75,7,31,38,26,6,6,17,18,1.0
22025,1610612760,OKC,Oklahoma City Thunder,0022500506,2026-01-05,OKC vs. CHA,L,240,97,34,93,0.366,11,39,0.282,18,27,0.667,13,20,33,18,14,5,7,14,-27.0
22025,1610612756,PHX,Phoenix Suns,0022500505,2026-01-05,PHX @ HOU,L,240,97,37,88,0.42,14,41,0.341,9,12,0.75,11,29,40,23,11,0,10,14,-3.0
22025,1610612738,BOS,Boston Celtics,0022500503,2026-01-05,BOS vs. CHI,W,240,115,42,104,0.404,20,52,0.385,11,13,0.846,20,34,54,22,7,4,7,11,14.0
22025,1610612752,NYK,New York Knicks,0022500502,2026-01-05,NYK @ DET,L,241,90,32,76,0.421,13,30,0.433,13,14,0.929,5,25,30,15,7,3,20,17,-31.0
22025,1610612760,OKC,Oklahoma City Thunder,0022500499,2026-01-04,OKC @ PHX,L,240,105,39,82,0.476,10,32,0.313,17,19,0.895,2,27,29,20,2,4,9,20,-3.0
22025,1610612749,MIL,Milwaukee Bucks,0022500500,2026-01-04,MIL @ SAC,W,241,115,39,87,0.448,10,37,0.27,27,30,0.9,12,36,48,23,4,2,13,21,17.0
22025,1610612739,CLE,Cleveland Cavaliers,0022500494,2026-01-04,CLE vs. DET,L,240,110,35,80,0.438,14,42,0.333,26,30,0.867,11,33,44,23,11,10,17,18,-4.0
22025,1610612756,PHX,Phoenix Suns,0022500499,2026-01-04,PHX vs. OKC,W,241,108,35,79,0.443,17,43,0.395,21,29,0.724,12,37,49,21,2,1,15,23,3.0
22025,1610612743,DEN,Denver Nuggets,0022500496,2026-01-04,DEN @ BKN,L,240,115,41,85,0.482,11,31,0.355,22,28,0.786,8,25,33,29,4,5,9,24,-12.0
